CITYGEONAME,LATITUDE,LONGITUDE,USERS
Ulvsvåg,68.119540,15.865800,11
Kjøpsvik,68.097420,16.373370,102
Hamarøy,68.084030,15.628020,17
Ballstad,68.078020,13.541940,75
Ramberg,68.062570,13.244330,55
Drag,68.046360,16.082680,11
Engeløya,67.939100,15.050000,12
Reine,67.932240,13.090370,11
Bogøy,67.899470,15.189220,22
Sørvågen,67.889050,13.016660,117
Kiruna,67.885480,20.124960,16
Kiruna,67.879010,20.203880,197
Kiruna,67.858760,20.240010,15
Kiruna,67.857710,20.227120,23
Kiruna,67.855962,20.180661,18
Kiruna,67.852170,20.255180,32
Kiruna,67.852050,20.229550,42
Kiruna,67.847700,20.338410,39
Kiruna,67.840130,20.293150,20
Kiruna,67.840060,20.265510,20
Kiruna,67.832580,20.285860,17
Rauhala,67.808070,24.825100,30
Leinesfjord,67.797460,14.922920,35
Nordfold,67.762110,15.226740,20
Leines,67.737620,14.806800,17
Helligvær,67.679460,13.508180,16
Værøy,67.666500,12.685780,14
Svappavaara,67.647650,21.054130,18
Äkäslompolo,67.619810,24.148440,16
Røst,67.517590,12.103840,75
Apatity,67.463330,33.588330,15
Puoltikasvaara,67.440600,21.108600,57
Bodø,67.377460,14.610480,26
Straumen,67.347430,15.598330,18
Valnesfjord,67.322650,15.205730,98
Bodø,67.313970,14.453000,49
Bodø,67.306040,14.433770,48
Tverlandet,67.298170,14.777720,281
Bodø,67.298160,14.576080,147
Bodø,67.297240,14.409380,170
Bodø,67.294330,14.591620,98
Bodø,67.293710,14.441290,496
Bodø,67.292560,14.565210,223
Bodø,67.290440,14.575970,372
Bodø,67.290270,14.609340,96
Bodø,67.289760,14.552030,183
Bodø,67.289590,14.420630,137
Bodø,67.286350,14.420610,48
Bodø,67.286090,14.437050,13
Bodø,67.284760,14.389180,335
Bodø,67.284590,14.540610,15
Bodo,67.283302,14.383300,1777
Bodø,67.282470,14.534960,27
Bodø,67.281360,14.387570,331
Bodø,67.280400,14.400070,104
Bodø,67.280040,14.513300,54
Bodø,67.279810,14.473320,53
Bodø,67.279030,14.410310,268
Bodø,67.278820,14.457720,91
Bodø,67.278020,14.447790,13
Bodø,67.277230,14.482160,74
Bodø,67.276540,14.510480,56
Bodø,67.276290,14.369300,434
Bodø,67.276280,14.489960,27
Bodø,67.275800,14.391920,91
Bodø,67.275480,14.467760,40
Bodø,67.273900,14.451710,64
Bodø,67.271820,14.438130,54
Fauske,67.267380,15.390720,40
Fauske,67.266910,15.418760,120
Fauske,67.264560,15.375870,221
Fauske,67.260740,15.399600,240
Fauske,67.255780,15.359400,118
Fauske,67.255150,15.434280,89
Fauske,67.233090,15.466370,20
Saltstraumen,67.220280,14.580770,25
Breivik I Salten,67.196660,15.200680,71
Malmberget,67.166702,20.666700,57
Gällivare,67.149420,20.813030,15
Gällivare,67.134710,20.658160,12
Nygårdsjøen,67.114780,14.307300,21
Rognan,67.095470,15.392420,320
Inndyr,67.012230,14.011560,63
Kangerlussuaq,67.011050,-50.715520,17
Moldjord,67.008510,14.579510,26
Røkland,66.990620,15.316470,246
Sisimiut,66.925260,-53.659300,203
Reipå,66.909670,13.629590,12
Kotzebue,66.898330,-162.596700,25
Ørnes,66.868550,13.712820,323
Neverdal,66.844130,13.747690,82
Glomfjord,66.815580,13.958980,59
Engavågen,66.782680,13.494370,25
Tasiilaq,66.700000,-34.450000,14
Tjongsfjorden,66.683490,13.475560,51
Rødøy,66.667770,13.059150,275
Jokkmokk,66.599998,19.850000,27
Rovaniemi,66.529760,25.699960,56
Lapinrinne-Ahokangas,66.522170,25.675010,15
Saarenkylä,66.515280,25.785170,38
Korkalovaara,66.511950,25.654260,22
Sahanperä-Ratantaus,66.505200,25.728980,18
Træna,66.503420,12.094150,48
Niemelänkangas-Korvanniemi,66.484330,25.691250,28
Ounasrinne,66.483060,25.816070,18
Pullinranta-Kiiruna,66.478900,25.723930,40
Øresvik,66.442730,13.330440,16
Vuollerim,66.435750,20.633330,42
Bratland,66.404460,13.158860,68
Storforshei,66.402960,14.650110,46
Lurøy,66.402790,12.853170,13
Övertorneå,66.383301,23.666700,42
Skonseng,66.376170,14.274960,65
Lovund,66.365660,12.359470,31
Sleneset,66.361390,12.606660,88
Mo I Rana,66.344490,14.137880,146
Mo I Rana,66.327010,14.183380,108
Mo I Rana,66.318910,14.143800,358
Mo I Rana,66.318100,14.144720,422
Mo I Rana,66.316740,14.241980,377
Mo i Rana,66.316704,14.166700,1717
Mo I Rana,66.314580,14.171230,150
Mo I Rana,66.306530,14.133120,204
Utskarpen,66.293640,13.617600,56
Dalsgrenda,66.251910,13.991230,27
Hemnesberget,66.225490,13.626860,56
Nesna,66.197200,13.022950,63
Finneidfjord,66.186140,13.791670,24
Siglufjörður,66.148800,-18.916510,19
Bjerka,66.146700,13.836530,25
Dønna,66.133790,12.526090,40
Leirfjord,66.071140,12.889230,123
Korgen,66.070360,13.817130,45
Ísafjörður,66.068890,-23.140760,20
Morjärv,66.067840,22.705520,12
Sandnessjøen,66.016080,12.609920,306
Sandnessjøen,66.009960,12.632440,26
Sandnessjøen,66.003560,12.563710,84
Herøy,65.995420,12.262170,75
Dalvík,65.971480,-18.534870,27
Kuusamo,65.971250,29.190420,27
Mosjøen,65.946060,13.259620,131
Sandnessjøen,65.932270,12.486400,25
